教育网课,#genre#
小学六年级(思),http://aldirect.hls.huya.com/huyalive/1099531752606-1099531752606-86435486687559680-2199063628668-10057-A-0-1.m3u8
初中一年级(思),http://aldirect.hls.huya.com/huyalive/1099531752607-1099531752607-86435490982526976-2199063628670-10057-A-0-1.m3u8
初中二年级(思),http://aldirect.hls.huya.com/huyalive/1099531752608-1099531752608-86435495277494272-2199063628672-10057-A-0-1.m3u8
初中三年级(思),http://aldirect.hls.huya.com/huyalive/1099531752609-1099531752609-86435499572461568-2199063628674-10057-A-0-1.m3u8
高中一年级(思),http://aldirect.hls.huya.com/huyalive/1099531752610-1099531752610-86435503867428864-2199063628676-10057-A-0-1.m3u8
高中二年级(思),http://aldirect.hls.huya.com/huyalive/1099531752611-1099531752611-86435508162396160-2199063628678-10057-A-0-1.m3u8
高中三年级(思),http://aldirect.hls.huya.com/huyalive/1099531752612-1099531752612-86435512457363456-2199063628680-10057-A-0-1.m3u8
网校一年级,http://112.50.243.8/PLTV/88888888/224/3221226568/1.m3u8
网校二年级,http://112.50.243.8/PLTV/88888888/224/3221226638/1.m3u8
网校三年级,http://112.50.243.8/PLTV/88888888/224/3221226569/1.m3u8
网校四年级,http://112.50.243.8/PLTV/88888888/224/3221227034/1.m3u8
网校五年级,http://112.50.243.8/PLTV/88888888/224/3221226573/1.m3u8
网校六年级,http://112.50.243.8/PLTV/88888888/224/3221226565/1.m3u8
网校初一,http://112.50.243.8/PLTV/88888888/224/3221226944/1.m3u8
网校初二,http://112.50.243.8/PLTV/88888888/224/3221226871/1.m3u8
网校初三,http://112.50.243.8/PLTV/88888888/224/3221227042/1.m3u8
网校高一,http://112.50.243.8/PLTV/88888888/224/3221226875/1.m3u8
网校高二,http://112.50.243.8/PLTV/88888888/224/3221226945/1.m3u8
网校高三,http://112.50.243.8/PLTV/88888888/224/3221227046/1.m3u8

湖北频道,#genre#
湖北卫视,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&playtoken=ABCDEFGHIGK&programid=4200000144.m3u8#http://live.cjyun.org/hubeitv/s10008-live-hbws.m3u8
湖北经视,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&playtoken=ABCDEFGHIGK&programid=4200000145.m3u8#http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&playtoken=ABCDEFGHIGK&programid=4200000012.m3u8#http://live.cjyun.org/hubeitv/s10008-live-hbjs.m3u8
湖北电视台,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&playtoken=ABCDEFGHIGK&programid=4200000146.m3u8#http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&playtoken=ABCDEFGHIGK&programid=4200000013.m3u8#http://live.cjyun.org/hubeitv/s10008-live-hbzh.m3u8
湖北公共新闻,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&playtoken=ABCDEFGHIGK&programid=4200000148.m3u8#http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&playtoken=ABCDEFGHIGK&programid=4200000015.m3u8#http://live.cjyun.org/hubeitv/s10008-live-hbgg.m3u8
湖北生活,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&playtoken=ABCDEFGHIGK&programid=4200000018.m3u8#http://live.cjyun.org/hubeitv/s10008-live-hbsh.m3u8
湖北教育,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&playtoken=ABCDEFGHIGK&programid=4200000017.m3u8#http://live.cjyun.org/hubeitv/s10008-live-hbjy.m3u8
湖北影视,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&playtoken=ABCDEFGHIGK&programid=4200000016.m3u8#http://live.cjyun.org/hubeitv/s10008-live-hbys.m3u8
垄上频道,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&playtoken=ABCDEFGHIGK&programid=4200000014.m3u8#http://live.cjyun.org/hubeitv/s10008-live-hbls.m3u8
武汉-1,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000215.m3u8#http://stream.appwuhan.com/1tzb/sd/live.m3u8
武汉-2,http://stream.appwuhan.com/2tzb/sd/live.m3u8
武汉-3,http://stream.appwuhan.com/3tzb/sd/live.m3u8
武汉-4,http://stream.appwuhan.com/4tzb/sd/live.m3u8
武汉-5,http://stream.appwuhan.com/5tzb/sd/live.m3u8
武汉-6,http://stream.appwuhan.com/6tzb/sd/live.m3u8
武汉-7,http://stream.appwuhan.com/7tzb/sd/live.m3u8
武汉教育台,http://stream.appwuhan.com/jyzb/sd/live.m3u8
四川广电,#genre#
4K超高清电影,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/emdy4k_8000.m3u8
CCTV4k超高清,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/ys4kcq_4000.m3u8
CCTV1综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv1hd_4000.m3u8
CCTV2财经FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv2hd_4000.m3u8
CCTV3综艺FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv3hd_4000.m3u8
CCTV4国际FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv4_4000.m3u8
CCTV5体育FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv5hd_4000.m3u8
CCTV5+赛事FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv5plushd_4000.m3u8
CCTV6电影FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv6hd_4000.m3u8
CCTV7军农FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv7hd_4000.m3u8
CCTV8剧集FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv8hd_4000.m3u8
CCTV9纪录FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv9hd_4000.m3u8
CCTV10科教FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv10hd_4000.m3u8
CCTV11戏曲FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv11_4000.m3u8
CCTV12社会FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv12hd_4000.m3u8
CCTV13新闻,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv13_4000.m3u8
CCTV14少儿FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv14hd_4000.m3u8
CCTV15音乐FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv15_4000.m3u8
CCTV17农业农村FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv17_4000.m3u8
中国教育1FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cetv_4000.m3u8
CHC高清电影,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/chchd_4000.m3u8
CHC家庭影院,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/chcjtyy_4000.m3u8
CHC动作电影,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/chcdzdy_4000.m3u8
峨眉电影FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sctvemdy_4000.m3u8
四川文旅FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sctv2hd_4000.m3u8
四川经济FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sctv3hd_4000.m3u8
四川新闻FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sctv4_4000.m3u8
四川影视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sctv5hd_4000.m3u8
四川少儿FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sctv7_4000.m3u8
四川公共,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sctvgg_4000.m3u8
四川科教,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sctvkj_4000.m3u8
新视觉FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/xsjhd_4000.m3u8
全纪实FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/qjs_4000.m3u8
欢笑剧场FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hxjchd_4000.m3u8
都市剧场FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/dsjchd_4000.m3u8
魅力音乐FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/mlyy_4000.m3u8
动漫秀场FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/dmxc_4000.m3u8
生活时尚FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/shss_4000.m3u8
湖南卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hnwshd_4000.m3u8
东方卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/dfwshd_4000.m3u8
天津卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/tjwshd_4000.m3u8
安徽卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/ahwshd_4000.m3u8
北京卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/bjwshd_4000.m3u8
浙江卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/zjwshd_4000.m3u8
山东卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sdwshd_4000.m3u8
四川卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/scwshd_4000.m3u8
重庆卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cqwshd_4000.m3u8
深圳卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/szwshd_4000.m3u8
广东卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gdwshd_4000.m3u8
东南卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/dnwshd_4000.m3u8
贵州卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gzwshd_4000.m3u8
湖北卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hbwshd_4000.m3u8
江苏卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/jswshd_4000.m3u8
江西卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/jxwshd_4000.m3u8
吉林卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/jlws_4000.m3u8
河北卫视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hbws_4000.m3u8
黑龙江台FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hljwshd_4000.m3u8
河南卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hnws_4000.m3u8
广西卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gxws_4000.m3u8
甘肃卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gsws_4000.m3u8
云南卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/ynws_4000.m3u8
内蒙古卫视,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/nmgws_4000.m3u8
极速汽车FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/jsqc_4000.m3u8
快乐垂钓FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/klcdhd_4000.m3u8
江苏靓装,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/lz_4000.m3u8
早期教育,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/zqjy_4000.m3u8
英语辅导,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/yyfd_4000.m3u8
中华美食,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/zhms_4000.m3u8
贵州摄影,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sy_4000.m3u8
车迷频道,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cmpd_4000.m3u8
电子体育,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/dzty_4000.m3u8
环球旅游,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hqly_4000.m3u8
快乐垂钓,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/klcd_4000.m3u8
家庭理财,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/jtlc_4000.m3u8
四海钓鱼,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/shdy_4000.m3u8
游戏竞技,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/yxjj_4000.m3u8
CCTV兵器科技,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gfjs_4000.m3u8
CCTV世界地理,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sjdl_4000.m3u8
CCTV发现之旅,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/fxzl_4000.m3u8
CCTV风云音乐,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/fyyy_4000.m3u8
CCTV风云足球,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/fyzq_4000.m3u8
CCTV中学生,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/zxs_4000.m3u8
成都新闻综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cdtv1_4000.m3u8
成都经济资讯,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cdtv2_4000.m3u8
成都都市生活,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cdtv3_4000.m3u8
成都影视文艺,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cdtv4_4000.m3u8
成都公共频道,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cdtv5_4000.m3u8
峨眉山综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/emsxw_4000.m3u8
德阳新闻综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/dyxwhd_4000.m3u8
德阳公共FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/dygghd_4000.m3u8
乐山新闻综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/lsyt_4000.m3u8
乐山公共频道FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/lsgg_4000.m3u8
天全综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/tqzh_4000.m3u8
荥经一套FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/yjdst_4000.m3u8
彭州新闻综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/pzxwzh_4000.m3u8
龙泉新闻综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/lqxw_4000.m3u8
都江堰电视台FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/djyzh_4000.m3u8
青白江电视台FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/qbjxwzh_4000.m3u8
温江电视台FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/wjyt_4000.m3u8
金堂电视台FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/jtzhpd_4000.m3u8
绵阳新闻综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/myythd_4000.m3u8
绵阳公共FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/myethd_4000.m3u8
三台一套FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/stxwhd_4000.m3u8
北川一套FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/bcxwhd_4000.m3u8
雅安新闻综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/yazh_4000.m3u8
雅安公共FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/yagg_4000.m3u8
名山综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/msdst_4000.m3u8
遂宁综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/snxwzhhd_4000.m3u8
遂宁公共FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/sngghd_4000.m3u8
凉山新闻FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/lsxwhd_4000.m3u8
西昌FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/xcthd_4000.m3u8
万源FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/wyxwzh_4000.m3u8
达州新闻综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/dzxwzh_4000.m3u8
达州公共FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/dzgg_4000.m3u8
高县-1FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gxt_4000.m3u8
巴中综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/bz1hd_4000.m3u8
巴中公共FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/bz2hd_4000.m3u8
巴州电视FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/bzxw_4000.m3u8
恩阳新闻FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/eyxw_4000.m3u8
平昌新闻综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/pcxw_4000.m3u8
南江电视台FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/njxw_4000.m3u8
南充综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/ncxwzh_4000.m3u8
米易综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/myxwzh_4000.m3u8
松潘综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/spxwzhpd_4000.m3u8
宣汉新闻综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/xhxwzh_4000.m3u8
仪陇新闻综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/yilongxw_4000.m3u8
安居综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/ajxw_4000.m3u8
兴文电视台FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/xwt_4000.m3u8
利川FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/lzxwzh_4000.m3u8
泸州公共FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/lzgg_4000.m3u8
广元综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gyzh_4000.m3u8
广元公共FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gygg_4000.m3u8
朝天新闻综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/ctxwzh_4000.m3u8
苍溪新闻FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cxxwhd_4000.m3u8
剑阁综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/jgxwzh_4000.m3u8
昭化综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/zhxwzh_4000.m3u8
青川新闻综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/qcxwzh_4000.m3u8
旺苍新闻综合FHD,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/wcxwzh_4000.m3u8
纳溪新闻,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/nxxw_4000.m3u8
叙永综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/xyxw_4000.m3u8
古蔺新闻综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/glxwzhhd_4000.m3u8
合江新闻综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hjxw_4000.m3u8
通江新闻综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/tjxw_4000.m3u8
营山综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/ysxw_4000.m3u8
南部新闻,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/nbxw_4000.m3u8
广安新闻综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gaxwzh_4000.m3u8
广安公共,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gagg_4000.m3u8
岳池综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/ycxw_4000.m3u8
华蓥综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/hyxw_4000.m3u8
前锋区电视台,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/qfxw_4000.m3u8
广安区电视台,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/gaqxw_4000.m3u8
邻水新闻综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/lsxw_4000.m3u8
船山综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/csxw_4000.m3u8
宝兴新闻综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/bydst_4000.m3u8
沙湾新闻综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/swxwzh_4000.m3u8
五通桥新闻综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/wtqxwzh_4000.m3u8
金口河电视台,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/jkhdst_4000.m3u8
沐川新闻综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/mcxw_4000.m3u8
夹江新闻综合,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/jjxw_4000.m3u8
